                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.0975,                0.54539,                0.86951,                0.73637,                0.45347,                0.49457,                0.32171,                 1.2656,                0.69342,                0.93013,             0.00047367,             0.00047367,             0.00047367
                     87,                 1.0453,                0.51919,                0.85847,                0.75517,                0.44818,                0.49028,                0.31637,                 1.2908,                0.70154,                0.92811,             0.00047084,             0.00047084,             0.00047084
                     88,                 1.0685,                0.54972,                0.86528,                 0.7709,                0.45636,                0.50728,                0.33159,                  1.259,                0.68645,                0.92709,             0.00046801,             0.00046801,             0.00046801
                     89,                  1.031,                0.52147,                 0.8672,                0.78487,                 0.4419,                0.48974,                0.31273,                 1.2806,                0.70274,                0.93033,             0.00046519,             0.00046519,             0.00046519
                     90,                 1.0119,                0.52015,                0.85618,                0.77262,                0.45816,                  0.504,                0.32745,                 1.2659,                0.68246,                0.92924,             0.00046236,             0.00046236,             0.00046236
                     91,                 1.0062,                0.50706,                0.86548,                0.76867,                0.45979,                0.50648,                0.32857,                 1.2766,                0.69276,                0.93166,             0.00045953,             0.00045953,             0.00045953
                     92,                 1.0818,                0.54781,                0.87298,                0.75815,                0.45976,                0.49983,                0.32136,                 1.2892,                0.69415,                0.92788,              0.0004567,              0.0004567,              0.0004567
                     93,                 1.0455,                0.52584,                0.85537,                   0.71,                0.46042,                0.49993,                0.32357,                 1.2707,                 0.6857,                0.92896,             0.00045388,             0.00045388,             0.00045388
                     94,                 1.0353,                0.52598,                0.85697,                0.77548,                0.44317,                0.49271,                0.31677,                 1.2709,                 0.7051,                0.92593,             0.00045105,             0.00045105,             0.00045105
                     95,                0.99737,                0.51824,                0.86108,                0.77577,                0.45242,                0.49767,                0.32197,                 1.2655,                0.68991,                0.92904,             0.00044822,             0.00044822,             0.00044822
                     96,                0.99454,                0.51881,                0.86027,                0.70382,                0.46244,                0.50566,                0.32938,                 1.2662,                0.68822,                0.92649,             0.00044539,             0.00044539,             0.00044539
                     97,                 1.0614,                0.53908,                0.85155,                0.77989,                0.45299,                0.50279,                 0.3274,                 1.2524,                0.69221,                0.92713,             0.00044257,             0.00044257,             0.00044257
                     98,                 1.0414,                 0.5205,                0.85858,                0.78549,                0.44509,                0.50368,                0.32708,                 1.2564,                0.70009,                0.92315,             0.00043974,             0.00043974,             0.00043974
                     99,                 1.0057,                 0.5147,                0.84769,                0.78514,                0.45133,                0.50044,                0.32335,                 1.2647,                0.68934,                 0.9289,             0.00043691,             0.00043691,             0.00043691
                    100,                 0.9878,                0.50157,                0.85035,                0.77237,                0.45738,                0.50689,                0.32736,                 1.2582,                0.67932,                0.92807,             0.00043408,             0.00043408,             0.00043408
                    101,                  1.057,                0.53233,                0.84869,                0.77438,                0.44208,                0.49182,                0.31363,                 1.2975,                0.71414,                0.93833,             0.00043126,             0.00043126,             0.00043126
                    102,                 1.0217,                0.51948,                0.85427,                0.69711,                 0.4674,                0.50891,                0.32616,                 1.2704,                 0.6937,                0.92868,             0.00042843,             0.00042843,             0.00042843
                    103,                0.97123,                0.50514,                0.85884,                0.70219,                0.46885,                0.50719,                0.32758,                 1.2588,                0.69205,                0.92794,              0.0004256,              0.0004256,              0.0004256
                    104,                 1.0092,                 0.5128,                0.85072,                0.80566,                0.44964,                0.50887,                0.32956,                  1.251,                0.68302,                0.92388,             0.00042277,             0.00042277,             0.00042277
                    105,                0.98556,                0.49127,                0.85384,                0.76001,                 0.4528,                0.49887,                0.32001,                 1.2738,                0.70919,                0.93088,             0.00041995,             0.00041995,             0.00041995
                    106,                   1.06,                0.53364,                 0.8616,                0.78841,                0.45818,                  0.509,                0.32696,                 1.2736,                0.68413,                0.93026,             0.00041712,             0.00041712,             0.00041712
                    107,                0.95895,                0.48292,                0.85205,                0.76057,                0.45622,                0.50137,                0.32805,                 1.2439,                0.67922,                 0.9238,             0.00041429,             0.00041429,             0.00041429
                    108,                0.99755,                 0.4995,                0.85414,                0.80416,                0.44532,                0.49675,                0.32184,                 1.2459,                0.67845,                 0.9248,             0.00041146,             0.00041146,             0.00041146
                    109,                0.98957,                0.49676,                0.84946,                0.78032,                0.47056,                0.51422,                0.33579,                 1.2549,                0.67847,                0.92553,             0.00040864,             0.00040864,             0.00040864
                    110,                  1.011,                0.49871,                0.85586,                0.79303,                0.46082,                0.51354,                 0.3328,                 1.2494,                0.68429,                0.92227,             0.00040581,             0.00040581,             0.00040581
                    111,                 1.0347,                0.50907,                0.85337,                0.77772,                0.46552,                0.50858,                0.33223,                 1.2384,                0.67707,                0.92411,             0.00040298,             0.00040298,             0.00040298
                    112,                 1.0344,                 0.5077,                0.84388,                0.73268,                0.47353,                0.53011,                0.34423,                 1.2226,                0.68163,                0.92401,             0.00040015,             0.00040015,             0.00040015
                    113,                0.99456,                0.50291,                0.85283,                0.78766,                0.45357,                0.51003,                0.32817,                 1.2553,                0.67157,                0.92725,             0.00039733,             0.00039733,             0.00039733
                    114,                0.94279,                  0.483,                0.85196,                0.78153,                0.44753,                0.50489,                 0.3258,                 1.2537,                0.67878,                0.93064,              0.0003945,              0.0003945,              0.0003945
                    115,                0.94868,                0.48024,                0.84268,                0.78847,                0.45211,                0.51196,                0.33494,                 1.2331,                0.67892,                 0.9228,             0.00039167,             0.00039167,             0.00039167
                    116,                 1.0013,                 0.5062,                0.85095,                0.79421,                 0.4644,                0.51853,                0.34075,                 1.2402,                0.67584,                0.92511,             0.00038884,             0.00038884,             0.00038884
                    117,                0.96363,                0.49248,                0.84463,                0.79936,                0.43817,                0.48472,                 0.3171,                 1.2485,                0.68936,                0.93013,             0.00038602,             0.00038602,             0.00038602
                    118,                0.94492,                0.47884,                0.84939,                0.74395,                0.46111,                0.49937,                0.31875,                 1.2555,                0.68036,                0.92489,             0.00038319,             0.00038319,             0.00038319
                    119,                 1.0028,                0.49285,                0.83988,                0.77624,                0.48073,                0.52428,                0.34029,                 1.2386,                0.66683,                0.92193,             0.00038036,             0.00038036,             0.00038036
                    120,                0.98979,                0.49103,                 0.8466,                 0.7748,                0.46416,                0.51478,                0.33231,                 1.2399,                0.68001,                0.92499,             0.00037753,             0.00037753,             0.00037753
                    121,                0.98403,                0.48755,                0.84718,                0.76323,                0.45899,                 0.5117,                0.33352,                 1.2632,                0.69206,                0.93482,             0.00037471,             0.00037471,             0.00037471
                    122,                0.99321,                0.48445,                0.84673,                0.77351,                0.45255,                0.50263,                0.32561,                 1.2533,                0.68133,                0.92726,             0.00037188,             0.00037188,             0.00037188
                    123,                0.99949,                0.48815,                0.84543,                0.78663,                0.45297,                0.50912,                0.33607,                 1.2133,                0.66761,                  0.919,             0.00036905,             0.00036905,             0.00036905
                    124,                0.93315,                0.46195,                0.83889,                0.77913,                0.46858,                0.51281,                0.33618,                 1.2306,                0.66951,                0.92445,             0.00036622,             0.00036622,             0.00036622
                    125,                0.93109,                0.46451,                0.84315,                0.77782,                 0.4563,                0.50581,                0.32973,                  1.246,                0.67684,                0.92735,              0.0003634,              0.0003634,              0.0003634
                    126,                0.97692,                0.48049,                0.83572,                0.78442,                0.45503,                0.50936,                 0.3292,                 1.2595,                0.67477,                0.92852,             0.00036057,             0.00036057,             0.00036057
                    127,                0.99809,                0.48183,                0.83409,                 0.7597,                0.47447,                0.51316,                0.33393,                 1.2424,                0.66516,                0.92791,             0.00035774,             0.00035774,             0.00035774
                    128,                0.96632,                0.47238,                0.84635,                   0.78,                0.44957,                0.50558,                0.32898,                 1.2336,                0.66748,                0.92277,             0.00035492,             0.00035492,             0.00035492
                    129,                0.95627,                0.46655,                0.84563,                0.78278,                0.46622,                 0.5201,                0.33591,                 1.2534,                0.67075,                0.92689,             0.00035209,             0.00035209,             0.00035209
                    130,                0.96301,                0.47491,                0.83636,                0.76326,                0.46311,                 0.5198,                0.33964,                 1.2333,                0.66528,                0.92319,             0.00034926,             0.00034926,             0.00034926
                    131,                0.90271,                0.44859,                0.83877,                0.78191,                0.46498,                 0.5145,                 0.3342,                  1.245,                0.67063,                0.92368,             0.00034643,             0.00034643,             0.00034643
                    132,                0.97225,                0.47384,                0.84068,                0.79347,                0.46499,                0.52179,                0.34235,                 1.2306,                0.65901,                0.92434,             0.00034361,             0.00034361,             0.00034361
                    133,                0.96649,                0.47233,                0.83927,                0.79325,                0.46846,                0.52046,                0.33766,                 1.2298,                0.66864,                0.92727,             0.00034078,             0.00034078,             0.00034078
                    134,                0.89116,                0.44535,                0.83692,                0.77487,                0.46715,                0.51666,                0.33984,                 1.2295,                 0.6738,                0.92905,             0.00033795,             0.00033795,             0.00033795
                    135,                0.94286,                0.46682,                 0.8351,                0.78832,                0.45694,                0.51232,                  0.333,                 1.2379,                0.67477,                0.92658,             0.00033512,             0.00033512,             0.00033512
                    136,                0.89695,                0.44243,                0.83787,                0.80305,                0.45927,                0.51184,                0.33043,                 1.2559,                 0.6807,                 0.9285,              0.0003323,              0.0003323,              0.0003323
                    137,                 1.0009,                0.48275,                0.84143,                 0.7621,                0.47846,                 0.5211,                0.33587,                 1.2446,                0.67415,                0.93059,             0.00032947,             0.00032947,             0.00032947
                    138,                0.92652,                0.46501,                0.83818,                0.79175,                0.46162,                 0.5153,                0.33366,                  1.238,                0.68451,                0.92619,             0.00032664,             0.00032664,             0.00032664
                    139,                 0.9873,                0.47711,                0.83835,                0.75898,                0.47416,                0.51391,                0.33016,                 1.2571,                0.68122,                0.93373,             0.00032381,             0.00032381,             0.00032381
                    140,                0.91185,                0.46034,                0.83833,                0.80007,                0.45106,                 0.5033,                0.32714,                 1.2564,                0.67127,                0.93104,             0.00032099,             0.00032099,             0.00032099
                    141,                0.92548,                0.47324,                0.84271,                0.79568,                0.44766,                0.50386,                0.32685,                 1.2552,                0.68653,                0.92789,             0.00031816,             0.00031816,             0.00031816
                    142,                0.93265,                0.46844,                0.82919,                0.76876,                0.46836,                0.50711,                0.32617,                 1.2557,                0.67838,                0.92888,             0.00031533,             0.00031533,             0.00031533
                    143,                0.98223,                 0.4761,                0.84205,                0.76293,                0.47955,                0.52191,                0.33811,                 1.2216,                0.67779,                0.92524,              0.0003125,              0.0003125,              0.0003125
                    144,                0.93644,                0.45484,                0.83321,                0.79858,                0.46326,                0.51469,                0.33294,                 1.2453,                0.67617,                0.92867,             0.00030968,             0.00030968,             0.00030968
                    145,                0.95886,                 0.4726,                0.83638,                0.77631,                0.46542,                0.51573,                0.33424,                 1.2277,                 0.6698,                0.92844,             0.00030685,             0.00030685,             0.00030685
                    146,                0.90656,                0.45026,                 0.8347,                 0.8015,                0.46413,                0.51954,                0.33588,                 1.2403,                0.66693,                0.93142,             0.00030402,             0.00030402,             0.00030402
                    147,                0.94279,                0.46817,                0.83273,                0.77321,                0.47311,                0.52412,                0.34189,                 1.2364,                0.66337,                0.93097,             0.00030119,             0.00030119,             0.00030119
                    148,                0.95028,                0.46692,                0.82835,                0.79896,                0.46154,                0.51388,                0.33352,                 1.2445,                 0.6637,                0.93249,             0.00029837,             0.00029837,             0.00029837
                    149,                 0.9297,                0.46476,                0.82833,                0.79174,                0.46488,                0.52268,                0.34319,                 1.2201,                0.65989,                0.92899,             0.00029554,             0.00029554,             0.00029554
