                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.91285,                0.45683,                0.85007,                0.75367,                0.42485,                0.47897,                 0.3052,                 1.3613,                0.72887,                0.91662,             0.00048579,             0.00048579,             0.00048579
                    115,                0.98326,                0.48224,                0.84679,                0.75971,                0.43471,                0.48698,                0.31207,                 1.3224,                0.70005,                0.91062,             0.00048377,             0.00048377,             0.00048377
                    116,                0.96457,                0.46919,                0.84341,                0.77572,                 0.4316,                0.49009,                0.31208,                 1.3344,                0.71435,                0.90961,             0.00048175,             0.00048175,             0.00048175
                    117,                 0.9526,                0.46545,                0.83841,                0.75857,                0.44014,                0.49075,                0.31894,                 1.3018,                0.70515,                 0.9069,             0.00047973,             0.00047973,             0.00047973
                    118,                0.91166,                0.44913,                0.84634,                0.73688,                0.44379,                0.49072,                0.31031,                 1.3433,                0.72586,                0.91443,             0.00047771,             0.00047771,             0.00047771
                    119,                0.92596,                0.44829,                0.84199,                0.73153,                0.43041,                0.48026,                0.31001,                   1.32,                0.71688,                0.90976,             0.00047569,             0.00047569,             0.00047569
                    120,                 0.9401,                 0.4526,                0.83219,                0.75045,                0.43581,                0.49764,                0.31396,                 1.3324,                0.71558,                0.91479,             0.00047367,             0.00047367,             0.00047367
                    121,                0.93121,                0.46645,                0.84393,                0.74091,                0.42596,                0.48849,                0.30735,                 1.3574,                0.71917,                0.91846,             0.00047165,             0.00047165,             0.00047165
                    122,                0.91981,                0.47165,                 0.8526,                0.74556,                0.41885,                0.46905,                0.29349,                 1.3902,                0.73281,                0.92294,             0.00046963,             0.00046963,             0.00046963
                    123,                0.92101,                0.45755,                 0.8542,                0.67897,                0.42265,                0.47157,                0.29893,                 1.3622,                0.71802,                0.91943,             0.00046761,             0.00046761,             0.00046761
                    124,                0.97187,                0.47332,                0.83991,                0.74314,                 0.4288,                0.48082,                0.30978,                 1.3029,                0.69581,                0.90894,             0.00046559,             0.00046559,             0.00046559
                    125,                0.92476,                0.44928,                0.83265,                0.76437,                0.42951,                 0.4848,                0.30374,                 1.3366,                0.70404,                 0.9108,             0.00046357,             0.00046357,             0.00046357
                    126,                0.89665,                0.44054,                0.83601,                 0.7146,                 0.4318,                0.48617,                0.30922,                  1.318,                0.71496,                0.90888,             0.00046155,             0.00046155,             0.00046155
                    127,                0.91863,                0.45229,                0.83629,                0.73608,                0.43967,                0.49161,                0.31564,                 1.3209,                0.69697,                0.91076,             0.00045953,             0.00045953,             0.00045953
